source_file,file_path,poster_path,media_type,project_slug,title,content_types,contribution_chips,description,year,organization,external_url,publish
AQOHFRn389BHvQxynwDYaKR2q-gJqagkSumkoyjtySC57kwP44lcRxYg8qUOWeYuIXKPrU2JqyeDYMUgElTiqnFhW2zEIGWyew11nYEFMjtwLw.mp4,public/media/asset-18.mp4,public/media/asset-18-poster.webp,video,competition,Pathao 10Y Celebration,reel,idea,OVC to celebrate 10 years of Pathao for admaking competition,2025,Competition,,yes
BIDA Post 1.png,public/media/bida-post-1.webp,,image,bida-content,Thread Post,static,idea|design,Post on the 'a thread' trend to tackle lowered investment misconception,2026,BIDA,,yes
BIDA Post 2.png,public/media/bida-post-2.webp,,image,bida-content,News Post,static,design,Photocard of quote to drive traffic to webinar,2025,BIDA,,yes
BIDA Print.jpg,public/media/bida-print.webp,,image,bida-content,Newspaper Campaign,static,design,Launch campaign of matchmaking portal on national dailies,2025,BIDA,,yes
Grand Final ADM 5.mp4,public/media/grand-final-adm-5.mp4,public/media/grand-final-adm-5-poster.webp,video,competition,NCC Bank Hero OVC,reel,idea|shoot,OVC to position NCC Bank's offerings for the Gen-Z youth,2025,Competition,,yes
Invitation Turkiye.png,public/media/invitation-turkiye.webp,,image,bida-content,Email Invitation Flyer,banner,design,Invitation card for foreign seminar outreach,2025,BIDA,,yes
LD 1,public/media/ld-1.mp4,public/media/ld-1-poster.webp,video,bakery-promo,Product Intro,reel,idea|edit,Instagram stitch to piggyback off viral food buzz,2026,Love Doughs,,yes
LD 2,public/media/ld-2.webp,,image,bakery-promo,Product Anatomy,static,idea|design,4-slide Facebook carousel for close-up of product,2026,Love Doughs,,yes
Speech Reel for Turkiye.mp4,public/media/speech-reel-for-turkiye.mp4,public/media/speech-reel-for-turkiye-poster.webp,video,bida-content,Short-form Repurpose,reel,idea|edit,Long-form content cut to create reels for socials,2025,BIDA,,yes
Trade Cookies for Chips _ Love Doughs.webm,public/media/trade-cookies-for-chips-love-doughs.mp4,public/media/trade-cookies-for-chips-love-doughs-poster.webp,video,bakery-promo,Campaign Microsite,website,idea|design,Landing page walkthrough of a proposed campaign,2026,Love Doughs,,yes
WhatsApp Video 2026-06-24 at 11.46.52 AM.mp4,public/media/whatsapp-video-2026-06-24-at-11-46-52-am.mp4,public/media/whatsapp-video-2026-06-24-at-11-46-52-am-poster.webp,video,bida-content,Platform Launch,reel,idea|shoot|edit,Introduction of platform to show what problem it solves,2025,BIDA,,yes
নারায়ণগঞ্জে তরুণ-তরুণীদের হাতে কার্ডস্টকের রাজ্য _ The Business Standard.mp4,public/media/the-business-standard.mp4,public/media/the-business-standard-poster.webp,video,tbs-content,Product BTS Coverage,reel,idea|shoot,News coverage of young entrepreneurs,2023,The Business Standard,,yes
TBS Miniature.mp4,public/media/tbs-miniature.mp4,public/media/tbs-miniature-poster.webp,video,tbs-content,Product BTS Coverage 2,reel,idea|shoot,News coverage of unique business,2023,The Business Standard,,yes
marina tbs.png,public/media/marina-tbs.webp,,image,tbs-content,Infographic 1,static,idea|design,Content series for promo of a contest,2023,The Business Standard,,yes
kashef tbs.png,public/media/kashef-tbs.webp,,image,tbs-content,Infographic 1,static,idea|design,Content series for promo of a contest,2023,The Business Standard,,yes
LTE Case.mp4,public/media/lte-case.mp4,public/media/lte-case-poster.webp,video,lte-content,Commward-winning Campaign,static,idea,Case video for campaign with strategy involvement,2024,LTE Advertising,,yes
